OCANumber,IncidentFromDate,IncidentFromTime,IncidentToDate,IncidentToTime,OffenseCode,Offense Description,CaseStatus,CaseDisposition,LocationCode,PatrolZone,LocationLandmark,LocationStreetNumber,LocationDirectional,LocationStreet,LocationLatitude,LocationLongitude,CreatedSource
18030667,03/31/2018,14:00:00,03/31/2018,14:45:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z3,Tech Green,350,,Ferst Drive  NW,33.778956412500001,-84.401314659600004,1
18040855,04/20/2018,19:33:00,04/20/2018,20:05:00,9999W,,Closed/Cleared,Cleared by Arrest,PUB,OFFCAM,Merrits Avenue  NW at Centennial Olympic Park Drive  NW,,,,,,1
18040863,04/21/2018,15:55:00,04/21/2018,16:00:00,3550,Possession of Drug Related Items/Narcotic Equipment,Closed/Cleared,Cleared by Arrest,ONCAM,Z2,Bobby Dodd Stadium,155,,North Avenue NW,33.771865,-84.393316,1
18040899,04/27/2018,04:47:00,04/27/2018,04:48:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z1,Beringause Building,879,,Hemphill Avenue  NW,33.778956412500001,-84.401314659600004,1
18050945,05/02/2018,17:00:00,05/02/2018,18:03:00,2308,Larceny - From Building,Closed/Cleared,Cleared by Arrest,ONCAM,Z2,Clough Undergraduate Learning Commons,266,,Fourth Street  NW,,,1
18050951,05/02/2018,15:30:00,05/02/2018,15:45:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Barnes and Noble Bookstore,48,,Fifth Street NW,33.77668,-84.38863,1
18050971,05/04/2018,14:00:00,05/04/2018,14:30:00,2399,Larceny Offense Free Text,Closed/Cleared,Unfounded,ONCAM,Z2,NAA Turnaround,120,,North Avenue  NW,33.77005,-84.39162,1
18051010,05/08/2018,17:00:00,05/08/2018,18:00:00,4803,Making A False Report/Giving False Information,Closed/Cleared,Cleared by Arrest,NONCLERY,OFFCAM,Northside Drive  NW at Donald Lee Hollowell Parkway  NW,,,,,,1
18051015,05/09/2018,00:42:00,05/09/2018,01:37:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z1,Parker H. Petit Biotechnology Building,315,,Ferst Drive NW,,,1
18051066,05/15/2018,05:55:00,,,9999,Non-Crime (not reported to state),Closed/Cleared,,PUB,Z2,Georgia Tech Hotel & Conference Center   171  Z2,800,,Spring Street NW,33.776343252300002,-84.389307920199997,1
18040718,04/06/2018,22:30:00,04/06/2018,22:32:00,3564,Marijuana Free Text,Closed/Cleared,Cleared by Arrest,NONCLERY,Z2,Luckie Street NW @ Hunnicutt Street NW,,,,,,1
18040733,04/08/2018,17:35:00,04/08/2018,17:40:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Fifth Street NW @ Techwood Drive NW,,,,,,1
18040739,04/09/2018,07:30:00,04/09/2018,07:30:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Beringause Building,879,,Hemphill Avenue  NW,,,1
18040785,04/13/2018,02:43:00,04/13/2018,03:30:00,9999W,,Closed/Cleared,Cleared by Arrest,ONCAM,Z2,Library,704,,Cherry Street  NW,,,1
