OCANumber,IncidentFromDate,IncidentFromTime,IncidentToDate,IncidentToTime,OffenseCode,Offense Description,CaseStatus,CaseDisposition,LocationCode,PatrolZone,LocationLandmark,LocationStreetNumber,LocationDirectional,LocationStreet,LocationLatitude,LocationLongitude,CreatedSource
18040832,04/18/2018,14:59:00,04/18/2018,16:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z3,Smithgall Student Services,353,,Ferst Drive  NW,,,1
18040864,04/21/2018,17:30:00,04/21/2018,17:50:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAMRES,Z2,Smith Residence Hall,630,,Williams Street NW,33.771707325999998,-84.3912515496,1
18040875,04/24/2018,13:15:00,04/24/2018,13:50:00,5499,Traffic Offense (describe offense),Closed/Cleared,Prosecution Declined,NONCAM,Z1,Tech Plaza Lot,500,BK,Tenth Street,,,1
18050952,05/03/2018,12:35:00,05/03/2018,12:40:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Library,704,,Cherry Street NW,33.774317321700003,-84.395723825199994,1
18050972,05/03/2018,18:00:00,05/04/2018,18:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z1,North Avenue Apartments Parking Deck  South,120,,North Avenue  NW,33.778956412500001,-84.401314659600004,1
18040817,04/16/2018,12:02:00,04/16/2018,12:07:00,2205,Burglary - No Forced Entry -NonResidence,Closed/Cleared,Cleared by Arrest,ONCAM,Z2,Smith Building   24   Z2,685,,Cherry Street NW,33.773645202700003,-84.395148047299998,1
18040825,04/18/2018,03:26:00,04/18/2018,04:52:00,2317,Larceny - Bicycle,Closed/Cleared,Cleared by Arrest,ONCAM,Z3,Ferst Drive  NW @ Cherry Street  NW,,,,33.772387,-84.395512,1
18040845,04/18/2018,11:00:00,04/18/2018,11:10:00,9999,Non-Crime (not reported to state),Closed/Cleared,,PUB,Z2,,,,Fifth Street @ Spring Street NW,33.776853,-84.388807,1
18040894,04/23/2018,23:35:00,04/24/2018,18:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Beringause Building   46   Z1,879,,Hemphill Avenue NW,33.778956412500001,-84.401314659600004,1
18050941,05/02/2018,02:26:00,05/02/2018,02:30:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z3,Clough Undergraduate Learning Commons,266,,Fourth Street NW,,,1
18050976,05/05/2018,02:40:00,05/05/2018,03:10:00,9999,Non-Crime (not reported to state),Closed/Cleared,,NONCLERY,Z1,,1968,,Hawks Lane,33.778956412500001,-84.401314659600004,1
18051014,05/08/2018,23:59:00,05/08/2018,23:59:00,9999V,,Closed/Cleared,,ONCAM,Z3,Manufacturing Related Disciplines Complex,801,,Ferst Drive NW,,,1
18051048,05/12/2018,17:48:00,05/12/2018,17:55:00,2317,Larceny - Bicycle,Closed/Cleared,Cleared by Arrest,ONCAM,Z2,North Avenue Dining Facility,120,,North Avenue NW,,,1
18051075,05/16/2018,06:58:00,05/16/2018,07:20:00,2317,Larceny - Bicycle,Closed/Cleared,Cleared by Arrest,ONCAM,Z2,Clough Undergraduate Learning Commons  166  Z2,266,,Fourth Street NW,33.774681795699998,-84.396379388400007,1
18051098,05/20/2018,13:55:00,05/20/2018,14:10:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAMRES,Z2,NAA West,120,,North Avenue NW,,,1
18061158,06/01/2018,06:51:00,06/01/2018,06:57:00,2317,Larceny - Bicycle,Closed/Cleared,Cleared by Arrest,ONCAM,Z2,NAA Dining Hall,120,,North Avenue  NW,33.77101,-84.3913,1
18061207,06/10/2018,22:18:00,06/10/2018,23:00:00,5314,Loitering Violation,Closed/Cleared,Cleared by Arrest,ONCAMRES,Z2,North Avenue Apartments,120,,North Avenue  NW,33.77101,-84.3913,1
18071504,07/18/2018,08:00:00,07/18/2018,08:06:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z3,Beringause Building   46   Z1,879,,Hemphill Avenue NW,33.778956412500001,-84.401314659600004,1
18071532,07/20/2018,13:15:00,07/20/2018,14:15:00,9999V,,Closed/Cleared,,ONCAM,Z4,Campus Recreation Center   160   Z4,750,,Ferst Drive NW,,,1
18051110,05/22/2018,,05/22/2018,,3562,Marijuana - Possession of,Closed/Cleared,Cleared by Arrest,PUB,Z1,Tenth Street  NW and Holly Street  NW,,,,,,1
18061213,06/11/2018,14:30:00,,,5707,Criminal Trespass,Closed/Cleared,Cleared by Arrest,ONCAM,Z2,Technology Square Research Building   175  Z2,85,,Fifth Street  NW,33.7772881,-84.3900368,1
18061232,06/14/2018,13:30:00,06/14/2018,13:35:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z1,Beringause Building,879,,Hemphill Avenue NW,,,1
18071421,07/07/2018,08:00:00,07/07/2018,08:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z1,Ford Envir. Science & Technology,311,,Ferst Drive  NW,33.778896623599998,-84.396036089199995,1
18071450,07/12/2018,19:29:00,07/12/2018,21:05:00,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,ONCAM,Z4,Technology Parkway  NW  @ Northside Drive  NW,,,,,,1
18071452,07/12/2018,20:30:00,07/12/2018,21:30:00,9999W,,Closed/Cleared,Cleared by Arrest,NONCLERY,OFFCAM,,483,,Luckie Street  NW,,,1
18071460,07/12/2018,22:00:00,07/12/2018,23:15:00,2902,Damage to Property - Private,Inactive,,ONCAM,Z2,North Avenue Apartments,120,,North Avenue,,,1
18071462,07/13/2018,15:45:00,07/13/2018,15:47:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Barnes and Noble Bookstore,48,,Fifth Street NW,33.77668,-84.38863,1
18071585,07/25/2018,12:41:00,07/25/2018,15:30:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z3,Student Services Building   123   Z3,353,,Ferst Drive  NW,33.7743504403,-84.3995524697,1
18071642,07/31/2018,15:00:00,07/31/2018,15:05:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z1,North Campus Parking Deck near EBB,352,,Peachtree Place NW,,,1
18050986,05/05/2018,18:55:00,05/05/2018,19:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z4,Stamps Field,750,,Ferst Drive  NW,,,1
18051044,05/11/2018,17:21:00,05/11/2018,18:00:00,4803,Making A False Report/Giving False Information,Closed/Cleared,Cleared by Arrest,PUB,Z2,Fifth Street  NW at Spring Street  NW,,,,,,1
18051055,05/13/2018,11:20:00,05/14/2018,11:12:00,2308,Larceny - From Building,Closed/Cleared,Prosecution Declined,ONCAM,Z3,Student Center   104   Z3,351,,Ferst Drive  NW,33.7741360837,-84.398818020899995,1
18051104,05/21/2018,16:22:00,05/21/2018,16:55:00,4803,Making A False Report/Giving False Information,Closed/Cleared,Cleared by Arrest,ONCAM,Z2,Fifth Street  NW and Spring Street  NW,,,,,,1
18061159,05/31/2018,17:00:00,06/01/2018,08:00:00,2902,Damage to Property - Private,Inactive,,NONCAM,Z1,Golf Facility,515,,14th Street  NW,,,1
18061163,06/01/2018,17:00:00,06/01/2018,17:05:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z3,W02 Parking Deck,355,,FERST DR NW,,,1
18061226,06/13/2018,21:00:00,06/13/2018,21:20:00,9999V,,Closed/Cleared,,NONCAM,Z4,Chick-Fil-A,1100,,Northside Drive  NW,,,1
